STUDENT_ID	STUDENT_NAME	DEPT_ID	ADDRESS	POSTAL_CODE	PHONE_NUMBER
1	Arjun	D4	BANGALORE	560045	9652314852
2	Banu	D8	CHENNAI	560036	
3	Chris	D5	COIMBATORE	560024	7760548925
4	Albert	D10	HYDERABAD	560058	9886542189
5	Swetha	D23	PUNE	560065	9885214763
6	Thanu	D2	KOLKATA	560016	8045627932
7	Venu	D19	DELHI	560014	9678920107
8	Ravi	D3	BANGALORE	560045	
9	Ashu	D5	PURI	560036	
10	Sanchu	D15	PATNA	560024	7760548925
11	Kavya	D10	HYDERABAD	560058	9886542189
12	Madhu	D9	VIZAG	560065	9885214763
13	Deb	D23	NADIA	560010	
14	Arin	D13	GURUGAO	560019	8910131383
15	Saurav	D11	BHUBANESHW	560045	9652314852
16	Naina	D5	DEHRADUN	560006	
17	Harsh	D3	MYSORE	560024	7760548925
18	Aditi	D11	RAMPUR	560058	9886542189
19	Sanju	D16	BHOPAL	560065	
20	Sam	D4	BOKARO	560016	8045627932
21	Colin	D8	GANDHINAGA	560047	9331003920
22	Corey	D2	BHAGALPUR	560040	9652314852
23	Thyme	D7	KOCHI	560036	
24	Ren	D21	MUMBAI	560024	7760548925
25	Roger	D16	SURAT	560058	9886542189
26	Ram	D21	JAIPUR	560065	9885214763
27	Aakash	D3	GANGTOK	560016	8045627932
28	Gorya	D7	THIRUVANAN	560059	9339720963
29	Bill	D4	AMRAVATTI	560040	9652314852
30	Emma	D19	AHMEDABAD	560036	
31	Kanin	D7	COIMBATORE	560024	7760548925
32	Roop	D1	HYDERABAD	560058	9886542189
33	Ned	D2	MURSHIDABA	560065	
34	Starly	D12	BIRBHUM	560016	8045627932
35	Mia	D15	KOTTAYAM	560095	
36	Jay	D8	MADURAI	560045	9652314852
37	Gru	D3	VELLORE	560036	
38	Ron	D5	MATHURA	560024	7760548925
39	Barkha	D23	INDORE	560058	9886542189
40	Neil	D6	TRIPURA	556622	9845671258
41	John	D14	VARANASI	560089	8564213756
42	Ken	D17	AURANGABAD	560063	9865476129
43	Mitsy	D20	ALLAHABAD	560042	8654795321
44	Jay	D22	VADODARA	560075	7895456857
45	Gloria	D23	KANPUR	560045	9231456876
46	Mont	D6	AGRA	560077	8654231563
47	Kurt	D17	PUNE	560089	9324568752
48	Bael	D14	JABALPUR	560025	8654975635
49	Bella	D20	PATNA	560082	8456215442
50	Dua	D22	NIZAMABAD	561515	6543586548
51	Sia	D18	KOLKATA	560019	
52	Pam	D18	HYDERABAD	560087	
