Address	Postal_code	Phone_Number	Student_ID
Bangalore	560@045	9652314852	1
Chennai	560036	80795126342	2
Coimbatore	560024	7760548925	3
Hyderabad	560058	9886542189	4
Pune	560065	9885214763	5
Kolkata	560016	8045627932	6
Delhi	560014	9678920107	7
Bangalore	560045	96523148	8
Puri	560036	8079512634212	9
Patna	560024	7760548925	10
Hyderabad	560058	9886542189	11
Vizag	560065	9885214763	12
Nadia	560010	80456279321	13
Gurugao	560019	8910131383	14
Bhubaneshwar	560045	9652314852	15
Dehradun	560006	80795126342	16
Mysore	560024	7760548925	17
Rampur	560058	9886542189	18
Bhopal	560065	98852147631	19
Bokaro	560016	8045627932	20
Gandhinagar	560047	9331003920	21
Bhagalpur	560040	9652314852	22
Kochi	560036	80795126342	23
Mumbai	560024	7760548925	24
Surat	560058	9886542189	25
Jaipur	560065	9885214763	26
Gangtok	560016	8045627932	27
Thiruvananthapuram	560059	9339720963	28
Amravatti	560040	9652314852	29
Ahmedabad	560036	80795126342	30
Coimbatore	560024	7760548925	31
Hyderabad	560058	9886542189	32
Murshidabad	560065	98852147638	33
Birbhum	560016	8045627932	34
Kottayam	560095	92101567281	35
Madurai	560045	9652314852	36
Vellore	560@036	80795126342	37
Mathura	560024	7760548925	38
Indore	560058	9886542189	39
Tripura	556622	9845671258	40
Varanasi	560089	8564213756	41
Aurangabad	560063	9865476129	42
Allahabad	560042	8654795321	43
Vadodara	560075	7895456857	44
Kanpur	560045	9231456876	45
Agra	5600@77	8654231563	46
Pune	560089	9324568752	47
Jabalpur	560025	8654975635	48
Patna	560082	8456215442	49
Nizamabad	561515	6543586548	50
Kolkata	560019	982900198	51
Hyderabad	560!087	987654321	52
